feedback_id,record_type,role,task,outcome,friction,privacy_confidence,severity,requested_change,consent,wallet_address,transaction_or_block_reference
FB-001,synthetic_demo,buyer,prove funds,completed,"The asking floor was clear, but I wanted to see when the proof finished.",5,P2,"Show elapsed proving time beside the button.",simulation,not-collected,not-on-chain
FB-002,synthetic_demo,seller,prove metrics,completed,"The four metrics made sense without opening a data room.",5,P2,"Add a short explanation for each threshold.",simulation,not-collected,not-on-chain
FB-003,synthetic_demo,verifier,inspect receipt,completed,"I could tell what passed, but not which wallet created the request.",5,P1,"Add a copyable public receipt identifier.",simulation,not-collected,not-on-chain
FB-004,synthetic_demo,advisor,inspect receipt,completed,"The public/private boundary was easy to explain to a client.",5,P2,"Add a one-sentence due-diligence disclaimer.",simulation,not-collected,not-on-chain
FB-005,synthetic_demo,buyer,prove funds,blocked,"I was unsure whether the displayed bank attestation was live or a fixture.",4,P1,"Label mock attestations as fixtures in the action row.",simulation,not-collected,not-on-chain
FB-006,synthetic_demo,seller,prove metrics,completed,"The seller sees exact values, which is correct, but the verifier must not.",5,P1,"Add an automated privacy regression test for role switching.",simulation,not-collected,not-on-chain
FB-007,synthetic_demo,verifier,inspect receipt,completed,"The word nullifier needed a plain-language definition.",4,P1,"Add a tooltip explaining replay prevention.",simulation,not-collected,not-on-chain
FB-008,synthetic_demo,buyer,unlock dossier,completed,"The local-only badge gave me confidence before decrypting.",5,P2,"Show the ciphertext hash before the unlock action.",simulation,not-collected,not-on-chain
FB-009,synthetic_demo,seller,grant access,completed,"It was clear that access stayed locked until both checks passed.",5,P2,"Disable grant access until both receipts are visibly green.",simulation,not-collected,not-on-chain
FB-010,synthetic_demo,advisor,prove metrics,completed,"The distinction between attestation and proof was useful.",4,P1,"Link the attester expiry to the receipt timeline.",simulation,not-collected,not-on-chain
FB-011,synthetic_demo,buyer,prove funds,completed,"I expected a wallet connection prompt before the proof button.",3,P1,"Add a wallet-connect step in the Preprod build.",simulation,not-collected,not-on-chain
FB-012,synthetic_demo,seller,create listing,completed,"The anonymous alias was stronger than a generic listing title.",5,P2,"Allow seller-defined category labels.",simulation,not-collected,not-on-chain
FB-013,synthetic_demo,verifier,inspect receipt,completed,"The public timeline communicates sequence well.",5,P2,"Add block height once Preprod is connected.",simulation,not-collected,not-on-chain
FB-014,synthetic_demo,advisor,unlock dossier,blocked,"I could not tell whether the buyer or seller held the decryption key.",3,P1,"Explain key custody in the access receipt copy.",simulation,not-collected,not-on-chain
FB-015,synthetic_demo,buyer,unlock dossier,completed,"Seeing the company name only after unlock made the promise tangible.",5,P1,"Add a redacted preview state before decrypting.",simulation,not-collected,not-on-chain
FB-016,synthetic_demo,seller,grant access,completed,"The hash changing after encryption was expected but worth calling out.",4,P2,"Explain dossier hash versus ciphertext hash.",simulation,not-collected,not-on-chain
FB-017,synthetic_demo,verifier,inspect receipt,completed,"The receipt is concise enough for an audit handoff.",5,P2,"Add JSON export for the public receipt.",simulation,not-collected,not-on-chain
FB-018,synthetic_demo,buyer,prove funds,completed,"The policy thresholds were readable on desktop.",5,P2,"Improve mobile layout for the criteria card.",simulation,not-collected,not-on-chain
FB-019,synthetic_demo,seller,prove metrics,completed,"A failed metric should say which private check failed without exposing its value.",4,P1,"Add a generic failed-constraint count.",simulation,not-collected,not-on-chain
FB-020,synthetic_demo,advisor,inspect receipt,completed,"This feels like a pre-diligence gate, not a replacement for diligence.",5,P0,"Keep the scope disclaimer in the README and demo.",simulation,not-collected,not-on-chain
